id	filename	md5	size	state
159cb75d-95cd-400b-ad89-35d93f13755d	159cb75d-95cd-400b-ad89-35d93f13755d/fca2f9ce-9817-477a-8e9d-41ac0b6d7c1b.wxs.aliquot_ensemble_masked.maf.gz	94a68bd4c32ce95745fb9054774f30e4	190196	validated
15d986af-ed0c-4b0a-87f6-9ab690fa2aeb	15d986af-ed0c-4b0a-87f6-9ab690fa2aeb/53883378-29f8-4c9f-ac11-bdbc0c631f89.wxs.aliquot_ensemble_masked.maf.gz	8618bfb4b88874b778f07261cf18878a	75321	validated
15e6a353-3cd4-47aa-a30f-17d67a80bf76	15e6a353-3cd4-47aa-a30f-17d67a80bf76/f3bc3a79-9947-4f60-b39b-fcf62a6e0ed6.wxs.aliquot_ensemble_masked.maf.gz	a6adf9defe4c8fb14524847149478c5f	10157	validated
160eba1b-63bc-4b4f-b318-bc544c96129b	160eba1b-63bc-4b4f-b318-bc544c96129b/d4cf0272-986c-4546-a738-1dfe71af1897.wxs.aliquot_ensemble_masked.maf.gz	ae727adcf640e6b5dc7360144f2850a3	23069	validated
17142ab0-d595-4dcf-bfc0-ba195cd41383	17142ab0-d595-4dcf-bfc0-ba195cd41383/64a66bae-5441-4c53-acf1-b6720d5d2e91.wxs.aliquot_ensemble_masked.maf.gz	ab433606e048ddda52745bd76df40265	27229	validated
1782d7aa-e7cf-4139-9a21-e970ec53345b	1782d7aa-e7cf-4139-9a21-e970ec53345b/0f6671dd-c554-4cd6-aaae-51f2b337c9db.wxs.aliquot_ensemble_masked.maf.gz	7a9f8ce7db03567e20a8bd242adfff0f	154060	validated
18474ba0-c8c9-4ef9-ac4d-7ffc5c3e9a96	18474ba0-c8c9-4ef9-ac4d-7ffc5c3e9a96/0cab46ec-d244-44d0-9b81-362b720e6ff7.wxs.aliquot_ensemble_masked.maf.gz	540dde7adcdaed1d575953fa699b4cfa	21156	validated
1868cbfe-4dd8-46a1-92e9-2b623d133ab2	1868cbfe-4dd8-46a1-92e9-2b623d133ab2/31fca075-b922-4fbb-a552-bc592bd49e53.wxs.aliquot_ensemble_masked.maf.gz	b17f6dece604c7f5fcc519843df8594a	79586	validated
193929ae-7255-458e-803c-657522d05166	193929ae-7255-458e-803c-657522d05166/481e48c0-5e77-402d-9125-fde6812e019c.wxs.aliquot_ensemble_masked.maf.gz	b7e7daf2788d184c540ba9edc87b50dc	17573	validated
1abe8d83-4269-4532-b546-b23367edc257	1abe8d83-4269-4532-b546-b23367edc257/7d93a18a-213f-4f33-ab31-d1532f786b86.wxs.aliquot_ensemble_masked.maf.gz	6de2f4ee0373c871a194cc7c88f62b3c	83128	validated
